Literature,Category,Variable,Unit,Trt_aCO2 ,Trt_eCO2 ,Trt_CO2_unit,Trt_aP,Trt_eP,Trt_P_unit,Sample Size,aCaP_mean,aCaP_pos,aCaP_neg,aCeP_mean,aCeP_pos,aCeP_neg,eCaP_mean,eCaP_pos,eCaP_neg,eCeP_mean,eCeP_pos,eCeP_neg,Confidence interval type,Species,Vegetation_type,Soil_weight_in_pot,Soil_weight_unit,Pot_volume ,Pot_volume_unit,Experiment_duration,Experimental_duration_unit,Mycorrhizae_Literature,Mycorrhizae,Soil_growth_condition,CO2_exposure_type
Edwards et al. 2006,Biomass,Total plant N content,kg ha-1,360,700,ppm,0.04,1,mM P,6,5,6,4,4,5,3,9,10,8,3,4,1,SE,Stenotaphrum secundatum,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2006,Biomass,Root N content,kg ha-1,360,700,ppm,0.04,1,mM P,6,26,30,22,25,28,22,38,40,26,60,65,55,SE,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2006,Biomass,Leaf P content,kg ha-1,360,700,ppm,0.04,1,mM P,6,12.9,13.8,12,65.2,69.1,61.3,9.1,9.8,8.4,61.7,64,59.4,SE,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2006,Biomass,Total plant P content ,kg ha-1,360,700,ppm,0.04,1,mM P,6,0.7,0.8,0.6,0.8,1.1,0.5,1.1,1.2,1,0.5,6,0.4,SE,Stenotaphrum secundatum,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2006,Biomass,Root P content,kg ha-1,360,700,ppm,0.04,1,mM P,6,2.2,2.6,1.8,2.9,3.3,2.5,2.4,3.2,1.6,5.7,6.2,5.2,SE,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2006,Concentration,Root P concentration,kg ha-1,360,700,ppm,0.04,1,mM P,6,0.038,0.04,0.035,0.071,0.076,0.066,0.034,0.036,0.03,0.056,0.06,0.049,SE,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2006,Nutrient Ratio,Root NP ratio,unitless,360,700,ppm,0.04,1,mM P,6,12.2,NA,NA,8.9,NA,NA,16.1,NA,NA,10.7,NA,NA,SE,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2006,Nutrient Ratio,Leaf NP ratio,unitless,360,700,ppm,0.04,1,mM P,6,21.4,NA,NA,11.8,NA,NA,25.1,NA,NA,14.8,NA,NA,SE,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2006,Nutrient Ratio,Leaf NP ratio,unitless,360,700,ppm,0.04,1,mM P,6,7.5,NA,NA,5.2,NA,NA,8,NA,NA,6.5,NA,NA,SE,Stenotaphrum secundatum,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Wolf 1996,Biomass,Aboveground biomass,g m-2,315,695,ppm,0.3,1,optimal P,3,3.23,NA,NA,8.48,NA,NA,3.24,NA,NA,17.38,NA,NA,NA,Vicia Faba,Nonwoody,NA,NA,20,L,105,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2005,Biomass,Root biomass,t ha-1,360,700,ppm,0.4,0.5,mM P,6,0.56,0.68,0.44,0.36,0.4,0.32,0.69,0.9,0.48,0.98,1.1,0.86,SE,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2005,Biomass,Total plant biomass ,t ha-1,360,700,ppm,0.4,0.5,mM P,6,5.19,5.57,4.81,10.41,10.81,10.01,5.15,5.63,4.67,13.46,14.23,12.69,SE,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Edwards et al. 2005,Biomass,Total plant biomass ,t ha-1,360,700,ppm,0.4,0.5,mM P,6,0.32,0.37,0.27,0.16,0.19,0.13,0.62,0.66,0.58,0.19,0.21,0.17,SE,Stenotaphrum secundatum,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Gas Exchange,Stomatal conductance ,mmol m-2 s-1,400,800,ppm,0.2,1.8,g pot-1,2,0.12,0.16,0.07,0.33,0.36,0.3,0.041,0.047,0.0312,0.099,0.12,0.076,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,33,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Gas Exchange,Stomatal conductance ,mmol m-2 s-1,400,800,ppm,0.2,1.8,g pot-1,2,0.148,0.21,0.11,0.92,0.96,0.88,0.3,0.34,0.24,0.52,0.58,0.45,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,43,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Resource Use Efficiency,WUE,mmol m-2 s-1,400,800,ppm,0.2,1.8,g pot-1,2,115.9166667,NA,NA,96.96969697,NA,NA,141.7073171,NA,NA,245.1515152,NA,NA,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,33,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Resource Use Efficiency,WUE,mmol m-2 s-1,400,800,ppm,0.2,1.8,g pot-1,2,125.9459459,NA,NA,39.63043478,NA,NA,81.3,NA,NA,70.11538462,NA,NA,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,43,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jin et al. 2015,Gas Exchange,Stomatal conductance ,mol m-2 s-1,390,565,ppm,15,60,mg P kg-1 soil,4,0.23,0.25,0.22,0.17,0.176,0.147,0.177,0.187,0.163,0.138,0.142,0.125,SE,Pisum sativum,Nonwoody,13000,g,0.010602875,dm3,122,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2015,Resource Use Efficiency,WUE,umol CO2 mmol-1 H2O,390,565,ppm,15,60,mg P kg-1 soil,4,5.42,5.82,4.8,7.06,7.68,6.72,6.72,7.2,6.2,8.37,8.98,7.74,SE,Pisum sativum,Nonwoody,13000,g,0.010602875,dm3,122,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2015,Gas Exchange,CO2 assimilation rate,umol CO2 m-2 s-1,390,565,ppm,15,60,mg P kg-1 soil,4,1.2466,1.455,1.056,1.2002,1.35168,0.98784,1.18944,1.3464,1.0106,1.15506,1.27516,0.9675,SE,Pisum sativum,Nonwoody,13000,g,0.010602875,dm3,122,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Israel et al. 1990,Concentration,Total plant N concentration,mg N g,350,700,ppm,0.1,0.5,mM KH2PO4 of 1 L,4,9.090909091,NA,NA,5.882352941,NA,NA,4.761904762,NA,NA,2.857142857,NA,NA,NA,Glycine max,Nonwoody,NA,NA,NA,NA,27,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Sa and Isreal 1998,Resource Use Efficiency,NUE,g mg-1 N,400,800,ppm,0.05,1,mM P,3,0.015762926,NA,NA,0.005873025,NA,NA,0.012827091,NA,NA,0.003866228,NA,NA,NA,Glycine max,Nonwoody,NA,NA,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Sa and Isreal 1998,Resource Use Efficiency,PUE ,g mg-1 P,400,800,ppm,0.05,1,mM P,3,0.377358491,NA,NA,0.063291139,NA,NA,0.326797386,NA,NA,0.043122035,NA,NA,NA,Glycine max,Nonwoody,NA,NA,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Gas Exchange,Stomatal conductance ,mol H2O m-2 s-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,1.557142857,1.572222222,1.53,1.578059072,1.794238683,1.350649351,1.630630631,1.368770764,2.181818182,1.505181347,0.891745602,15.24242424,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Gas Exchange,Stomatal conductance ,mol H2O m-2 s-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,5.48,6.34375,3.944444444,10.24242424,8.964705882,12.55319149,7.647887324,7.085106383,8.75,7.438095238,7.336956522,7.631944444,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Whitehead et al. 1997,Concentration,Leaf N concentration,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,26,29.6,22.4,26.4,29.2,23.6,29.1,38.8,19.4,22.6,25.5,19.7,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,88,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Concentration,Leaf P concentration ,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,0.3,0.33,0.27,3.4,3.8,3,0.4,0.42,0.38,1.9,2.3,1.5,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,88,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Concentration,Leaf N concentration,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,13.4,13.8,13,21.9,25.7,18.1,21.4,24.8,18,25.2,31.5,18.9,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Concentration,Leaf P concentration ,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,0.5,1,0.1,3.9,4.3,3.5,0.5,1,0.1,3.8,4.3,3.3,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Concentration,Root N concentration,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,15.3,21.1,9.5,10.4,13.7,7.1,16.3,18.7,13.9,7.8,10.1,5.5,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,190,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Concentration,Root P concentration ,mg g-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,1.2,1.3,1.1,2.9,3.5,2.4,1.1,1.2,1,2.3,2.5,2,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,190,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Biomass,Root N content,mg N plant-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,10.251,25.32,1.33,25.48,47.95,9.94,10.432,21.692,1.668,7.878,13.231,3.905,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,190,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Biomass,Root P content,mg P plant-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,0.804,1.56,0.154,7.105,12.25,3.36,0.704,1.392,0.12,2.323,3.275,1.42,SE,Pteridium aquilinum,Nonwoody,NA,NA,NA,NA,190,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Goverde et al. 2004,Morphology,Leaf area,cm plant-1,368,600,ppm,0,15,kg P ha-1,12,502.1405631,,,713.552341,,,533.8641188,,,1014.11993,,,SE,Lotus corniculatus,Nonwoody,675,g,0.002126466,dm3,67,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Stem N content,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,0.117546,NA,NA,0.112332,NA,NA,0.127296,NA,NA,0.172584,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Stem N content,g plant-1,400,800,ppm,0.61,1.8,g pot-1,4,0.106215,NA,NA,0.112332,NA,NA,0.140526,NA,NA,0.172584,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Stem N content,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,0.218272,NA,NA,1.522333,NA,NA,0.211932,NA,NA,1.190865,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Stem N content,g plant-1,400,800,ppm,1.2,1.8,g pot-1,4,0.5244,NA,NA,1.522333,NA,NA,0.571762,NA,NA,1.190865,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Stem P content,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,0.003562,NA,NA,0.021758,NA,NA,0.003672,NA,NA,0.031824,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Stem P content,g plant-1,400,800,ppm,0.61,1.8,g pot-1,4,0.008245,NA,NA,0.021758,NA,NA,0.008862,NA,NA,0.031824,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Stem P content,g plant-1,400,800,ppm,0.2,1.8,g pot-1,4,0.006462,NA,NA,0.065858,NA,NA,0.004872,NA,NA,0.04728,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Biomass,Stem P content,g plant-1,400,800,ppm,1.2,1.8,g pot-1,4,0.0276,NA,NA,0.065858,NA,NA,0.017392,NA,NA,0.04728,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Nutrient Ratio,Stem NP ratio,unitless,400,800,ppm,0.2,1.8,g pot-1,4,34.38461538,38.72727273,31.2,9.864864865,10.60606061,9.268292683,31.71428571,31.84615385,31.6,7.459459459,8.612903226,6.627906977,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Nutrient Ratio,Stem NP ratio,unitless,400,800,ppm,0.61,1.8,g pot-1,4,18.70588235,19.6,18,9.864864865,10.60606061,9.268292683,15.6,15.07692308,16,7.459459459,8.612903226,6.627906977,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Nutrient Ratio,Stem NP ratio,unitless,400,800,ppm,0.2,1.8,g pot-1,4,81.375,104.1666667,67.7,16.47058824,34.33333333,11.41509434,34.83333333,37.6875,32.55,13.34210526,14.20588235,12.64285714,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2012,Nutrient Ratio,Stem NP ratio,unitless,400,800,ppm,1.2,1.8,g pot-1,4,25.76190476,32,21.92307692,16.47058824,34.33333333,11.41509434,14.10810811,16.32258065,12.51162791,13.34210526,14.20588235,12.64285714,SE,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Nutrient Ratio,Stem NP ratio,unitless,400,800,ppm,0.2,1.8,g pot-1,4,33,NA,NA,5.162790698,NA,NA,34.66666667,NA,NA,5.423076923,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Nutrient Ratio,Stem NP ratio,unitless,400,800,ppm,0.61,1.8,g pot-1,4,12.88235294,NA,NA,5.162790698,NA,NA,15.85714286,NA,NA,5.423076923,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,63,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Nutrient Ratio,Stem NP ratio,unitless,400,800,ppm,0.2,1.8,g pot-1,4,33.77777778,NA,NA,23.11538462,NA,NA,43.5,NA,NA,25.1875,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Fleisher et al. 2013,Nutrient Ratio,Stem NP ratio,unitless,400,800,ppm,1.2,1.8,g pot-1,4,19,NA,NA,23.11538462,NA,NA,32.875,NA,NA,25.1875,NA,NA,NA,Solanum tuberosum,Nonwoody,NA,NA,16,L,56,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Campbell and Sage 2002,Biomass,LMA,g cm-2,410,750,ppm,0.00002139,0.00777139,g P,6,0.010980564,NA,NA,0.010577848,NA,NA,0.013540511,NA,NA,0.015714899,NA,NA,SE,Lupinus albus,Nonwoody,NA,NA,32,L,14,Days,Soudzilovshaia et al. 2019,NM,Restricted,Chambers
Dey et al. 2017a,Morphology,LMA,g cm-2,400,550,ppm,0,20,mg P kg-1 soil,12,0.002222716,0.002304678,0.002146383,0.001349801,0.001390917,0.001311046,0.002002002,0.00205381,0.001952744,0.001477105,0.001633987,0.001347709,SE,Vigna radiata,Nonwoody,NA,NA,NA,NA,45,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Dey et al. 2017a,Morphology,LMA,g cm-2,400,800,ppm,8,20,mg P kg-1 soil,12,0.001652346,0.00168039,0.001625223,0.001349801,0.001390917,0.001311046,0.001582028,0.001627472,0.001539053,0.001477105,0.001633987,0.001347709,SE,Vigna radiata,Nonwoody,NA,NA,NA,NA,45,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Dey et al. 2017a,Morphology,LMA,g cm-2,400,800,ppm,12,20,mg P kg-1 soil,12,0.001478306,0.001504551,0.00145296,0.001349801,0.001390917,0.001311046,0.00140164,0.001435441,0.001369394,0.001477105,0.001633987,0.001347709,SE,Vigna radiata,Nonwoody,NA,NA,NA,NA,45,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Dey et al. 2017a,Morphology,LMA,g cm-2,400,800,ppm,16,20,mg P kg-1 soil,12,0.001415328,0.001442793,0.001388889,0.001349801,0.001390917,0.001311046,0.001343364,0.001363234,0.001324065,0.001477105,0.001633987,0.001347709,SE,Vigna radiata,Nonwoody,NA,NA,NA,NA,45,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Wolf 1996,Biomass,Aboveground biomass,g m-2,315,695,ppm,0.1,1,optimal P,3,2.54,NA,NA,8.48,NA,NA,2.23,NA,NA,17.38,NA,NA,NA,Vicia Faba,Nonwoody,NA,NA,20,L,105,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jin et al. 2012,Concentration,Total plant N concentration,mg g-1,350,550,ppm,5,21,mg P kg-1 soil,4,12.56880734,NA,NA,12.21973094,NA,NA,14.69565217,NA,NA,11.78926441,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant N concentration,mg g-1,350,550,ppm,7,21,mg P kg-1 soil,4,11.56424581,NA,NA,12.21973094,NA,NA,16.08695652,NA,NA,11.78926441,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant N concentration,mg g-1,350,550,ppm,9,21,mg P kg-1 soil,4,12.54385965,NA,NA,12.21973094,NA,NA,12.39057239,NA,NA,11.78926441,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant N concentration,mg g-1,350,550,ppm,13,21,mg P kg-1 soil,4,10.8115942,NA,NA,12.21973094,NA,NA,12.58581236,NA,NA,11.78926441,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant N concentration,mg g-1,350,550,ppm,5,21,mg P kg-1 soil,4,14.02325581,NA,NA,1.605371901,NA,NA,11.14851485,NA,NA,1.288814691,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant N concentration,mg g-1,350,550,ppm,7,21,mg P kg-1 soil,4,4.525139665,NA,NA,1.605371901,NA,NA,4.909547739,NA,NA,1.288814691,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant N concentration,mg g-1,350,550,ppm,9,21,mg P kg-1 soil,4,3.535087719,NA,NA,1.605371901,NA,NA,3.142322097,NA,NA,1.288814691,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant N concentration,mg g-1,350,550,ppm,13,21,mg P kg-1 soil,4,2.033149171,NA,NA,1.605371901,NA,NA,1.997652582,NA,NA,1.288814691,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Almeida et al. 1999,Concentration,Total plant N concentration,g plant-1,350,700,ppm,0.0027,2,mM P,4,7.803,NA,NA,17.602,NA,NA,8.476,NA,NA,14.157,NA,NA,NA,Trifolium repens,Nonwoody,NA,NA,0.00875,dm3,30,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Almeida et al. 1999,Concentration,Total plant N concentration,g plant-1,350,700,ppm,0.075,2,mM P,4,6.864,NA,NA,17.602,NA,NA,6.1835,NA,NA,14.157,NA,NA,NA,Trifolium repens,Nonwoody,NA,NA,0.00875,dm3,30,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Almeida et al. 1999,Concentration,Total plant N concentration,g plant-1,350,700,ppm,0.67,2,mM P,4,14.994,NA,NA,17.602,NA,NA,10.384,NA,NA,14.157,NA,NA,NA,Trifolium repens,Nonwoody,NA,NA,0.00875,dm3,30,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Jin et al. 2012,Concentration,Total plant P concentration,mg g-1,350,550,ppm,5,21,mg P kg-1 soil,4,1.042189663,NA,NA,1.572680945,NA,NA,1.305120086,NA,NA,1.527106789,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant P concentration,mg g-1,350,550,ppm,7,21,mg P kg-1 soil,4,1.427684668,NA,NA,1.572680945,NA,NA,1.646566686,NA,NA,1.527106789,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant P concentration,mg g-1,350,550,ppm,9,21,mg P kg-1 soil,4,1.55631013,NA,NA,1.572680945,NA,NA,1.476826268,NA,NA,1.527106789,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant P concentration,mg g-1,350,550,ppm,13,21,mg P kg-1 soil,4,1.468966604,NA,NA,1.572680945,NA,NA,1.478943873,NA,NA,1.527106789,NA,NA,NA,Cicer arietinum,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant P concentration,mg g-1,350,550,ppm,5,21,mg P kg-1 soil,4,25.89705598,NA,NA,0.330936281,NA,NA,22.2259068,NA,NA,0.285236962,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant P concentration,mg g-1,350,550,ppm,7,21,mg P kg-1 soil,4,3.058353383,NA,NA,0.330936281,NA,NA,3.353287165,NA,NA,0.285236962,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant P concentration,mg g-1,350,550,ppm,9,21,mg P kg-1 soil,4,1.730087466,NA,NA,0.330936281,NA,NA,1.370995679,NA,NA,0.285236962,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jin et al. 2012,Concentration,Total plant P concentration,mg g-1,350,550,ppm,13,21,mg P kg-1 soil,4,0.604132992,NA,NA,0.330936281,NA,NA,0.454094513,NA,NA,0.285236962,NA,NA,NA,Pisum sativum ,Nonwoody,8000,g,0.471238898,dm3,63,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Almeida et al. 1999,Biomass,Total plant P content ,mg plant-1,350,700,ppm,0.0027,2,mM P,4,1.1577,NA,NA,98.0296,NA,NA,1.1622,NA,NA,80.5662,NA,NA,NA,Trifolium repens,Nonwoody,NA,NA,0.00875,dm3,30,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Almeida et al. 1999,Biomass,Total plant P content ,mg plant-1,350,700,ppm,0.075,2,mM P,4,4.3719,NA,NA,98.0296,NA,NA,4.7725,NA,NA,80.5662,NA,NA,NA,Trifolium repens,Nonwoody,NA,NA,0.00875,dm3,30,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Almeida et al. 1999,Biomass,Total plant P content ,mg plant-1,350,700,ppm,0.67,2,mM P,4,42.9624,NA,NA,98.0296,NA,NA,40.356,NA,NA,80.5662,NA,NA,NA,Trifolium repens,Nonwoody,NA,NA,0.00875,dm3,30,Days,Soudzilovshaia et al. 2019,AM,Restricted,Chambers
Conroy et al. 1992,Biomass,Total plant P content ,g,340,660,ppm,23,920,mg P kg-1 soil,4,0.001,NA,NA,0.005615385,NA,NA,0.003,NA,NA,0.022307693,NA,NA,NA,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Conroy et al. 1992,Biomass,Total plant P content ,g,340,660,ppm,76,920,mg P kg-1 soil,4,0.0025,NA,NA,0.005615385,NA,NA,0.0074,NA,NA,0.022307693,NA,NA,NA,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
Conroy et al. 1992,Biomass,Total plant P content ,g,340,660,ppm,230,920,mg P kg-1 soil,4,0.004961539,NA,NA,0.005615385,NA,NA,0.014500001,NA,NA,0.022307693,NA,NA,NA,Eucalyptus grandis,Woody,1100,g,NA,NA,42,Days,Soudzilovshaia et al. 2019,ECM-AM,Restricted,Chambers
